topic,n_posts_part2,share_part2,n_posts_part3,share_part3,delta
25,50.0,0.005828185103158876,28,0.003263783657768971,-0.002564401445389905
26,50.0,0.005828185103158876,40,0.004662548082527101,-0.0011656370206317747
27,38.0,0.004429420678400746,17,0.0019815829350740177,-0.0024478377433267283
28,38.0,0.004429420678400746,43,0.005012239188716633,0.0005828185103158873
29,34.0,0.0039631658701480355,27,0.0031472199557057933,-0.0008159459144422422
30,22.0,0.0025644014453899055,21,0.002447837743326728,-0.00011656370206317764
31,33.0,0.0038466021680848583,56,0.006527567315537942,0.0026809651474530836
32,30.0,0.003496911061895326,14,0.0016318918288844855,-0.0018650192330108403
33,28.0,0.003263783657768971,27,0.0031472199557057933,-0.00011656370206317764
34,13.0,0.0015153281268213078,7,0.0008159459144422427,-0.0006993822123790651
35,27.0,0.0031472199557057933,11,0.0012822007226949528,-0.0018650192330108405
36,26.0,0.0030306562536426157,29,0.003380347359832148,0.0003496911061895325
37,26.0,0.0030306562536426157,24,0.002797528849516261,-0.00023312740412635485
38,25.0,0.002914092551579438,30,0.003496911061895326,0.0005828185103158878
39,24.0,0.002797528849516261,22,0.0025644014453899055,-0.00023312740412635528
40,24.0,0.002797528849516261,13,0.0015153281268213078,-0.001282200722694953
41,18.0,0.0020981466371371954,18,0.0020981466371371954,0.0
42,23.0,0.002680965147453083,21,0.002447837743326728,-0.00023312740412635528
43,22.0,0.0025644014453899055,18,0.0020981466371371954,-0.00046625480825271013
44,22.0,0.0025644014453899055,12,0.0013987644247581304,-0.0011656370206317751
45,22.0,0.0025644014453899055,8,0.0009325096165054202,-0.0016318918288844853
46,20.0,0.0023312740412635507,15,0.001748455530947663,-0.0005828185103158878
47,19.0,0.002214710339200373,27,0.0031472199557057933,0.0009325096165054203
48,18.0,0.0020981466371371954,7,0.0008159459144422427,-0.0012822007226949528
49,17.0,0.0019815829350740177,8,0.0009325096165054202,-0.0010490733185685975
50,16.0,0.0018650192330108403,22,0.0025644014453899055,0.0006993822123790652
51,15.0,0.001748455530947663,13,0.0015153281268213078,-0.00023312740412635507
52,15.0,0.001748455530947663,20,0.0023312740412635507,0.0005828185103158878
53,0.0,0.0,18,0.0020981466371371954,0.0020981466371371954
54,0.0,0.0,13,0.0015153281268213078,0.0015153281268213078
55,0.0,0.0,13,0.0015153281268213078,0.0015153281268213078
56,0.0,0.0,10,0.0011656370206317753,0.0011656370206317753
57,0.0,0.0,11,0.0012822007226949528,0.0012822007226949528
58,0.0,0.0,11,0.0012822007226949528,0.0012822007226949528
59,0.0,0.0,10,0.0011656370206317753,0.0011656370206317753
60,0.0,0.0,11,0.0012822007226949528,0.0012822007226949528
61,0.0,0.0,16,0.0018650192330108403,0.0018650192330108403
62,0.0,0.0,5,0.0005828185103158877,0.0005828185103158877
63,0.0,0.0,21,0.002447837743326728,0.002447837743326728
64,0.0,0.0,15,0.001748455530947663,0.001748455530947663
65,0.0,0.0,22,0.0025644014453899055,0.0025644014453899055
66,0.0,0.0,10,0.0011656370206317753,0.0011656370206317753
67,0.0,0.0,6,0.0006993822123790652,0.0006993822123790652
68,0.0,0.0,22,0.0025644014453899055,0.0025644014453899055
69,0.0,0.0,17,0.0019815829350740177,0.0019815829350740177
70,0.0,0.0,17,0.0019815829350740177,0.0019815829350740177
71,0.0,0.0,24,0.002797528849516261,0.002797528849516261
72,0.0,0.0,7,0.0008159459144422427,0.0008159459144422427
73,0.0,0.0,6,0.0006993822123790652,0.0006993822123790652
74,0.0,0.0,5,0.0005828185103158877,0.0005828185103158877
75,0.0,0.0,18,0.0020981466371371954,0.0020981466371371954
76,0.0,0.0,12,0.0013987644247581304,0.0013987644247581304
77,0.0,0.0,10,0.0011656370206317753,0.0011656370206317753
78,0.0,0.0,18,0.0020981466371371954,0.0020981466371371954
79,0.0,0.0,20,0.0023312740412635507,0.0023312740412635507
80,0.0,0.0,16,0.0018650192330108403,0.0018650192330108403
81,0.0,0.0,9,0.0010490733185685977,0.0010490733185685977
82,0.0,0.0,3,0.0003496911061895326,0.0003496911061895326
83,0.0,0.0,9,0.0010490733185685977,0.0010490733185685977
84,0.0,0.0,10,0.0011656370206317753,0.0011656370206317753
85,0.0,0.0,14,0.0016318918288844855,0.0016318918288844855
86,0.0,0.0,6,0.0006993822123790652,0.0006993822123790652
87,0.0,0.0,15,0.001748455530947663,0.001748455530947663
88,0.0,0.0,7,0.0008159459144422427,0.0008159459144422427
89,0.0,0.0,7,0.0008159459144422427,0.0008159459144422427
90,0.0,0.0,5,0.0005828185103158877,0.0005828185103158877
91,0.0,0.0,12,0.0013987644247581304,0.0013987644247581304
92,0.0,0.0,10,0.0011656370206317753,0.0011656370206317753
93,0.0,0.0,7,0.0008159459144422427,0.0008159459144422427
94,0.0,0.0,13,0.0015153281268213078,0.0015153281268213078
95,0.0,0.0,5,0.0005828185103158877,0.0005828185103158877
96,0.0,0.0,11,0.0012822007226949528,0.0012822007226949528
97,0.0,0.0,11,0.0012822007226949528,0.0012822007226949528
98,0.0,0.0,5,0.0005828185103158877,0.0005828185103158877
99,0.0,0.0,15,0.001748455530947663,0.001748455530947663
