term,count,bucket
happy,2,fn
cops,2,fn
lethal,2,fn
categorical,2,fn
police,2,fn
defense,2,fn
juicy,2,fn
immigrants,2,fn
charge,2,fn
shooters,2,fn
scot,2,fn
al,2,fn
gore,2,fn
2000,2,fn
presidential,2,fn
won,2,fn
sighted,2,fn
paying,2,fn
abandon,2,fn
immediately,2,fn
answered,2,fn
promise,2,fn
taxation,2,fn
benefits,2,fn
alliance,2,fn
usa,2,fn
prescriptions,2,fn
disabled,2,fn
poverty,2,fn
bureaucracy,2,fn
taxes,2,fn
probably,2,fn
relevant,2,fn
incremental,2,fn
restriction,2,fn
chip,2,fn
away,2,fn
obnoxious,2,fn
inconvenient,2,fn
tactics,2,fn
associated,2,fn
introduces,2,fn
intensifier,2,fn
bummer,2,fn
pop,2,fn
frank,2,fn
castle,2,fn
motive,2,fn
contrastive,2,fn
decarbonizing,2,fn
decarbonization,2,fn
presents,2,fn
texas,2,fn
nut,2,fn
ellipses,2,fn
pretty,2,fn
lgbtq,2,fn
individuals,2,fn
constantly,2,fn
goes,2,fn
disclaimer,2,fn
unspecified,2,fn
knows,2,fn
taboo,2,fn
bullshit,2,fn
spew,2,fn
bases,2,fn
waterways,2,fn
necessary,2,fn
changes,2,fn
fragments,2,fn
plus,2,fn
where,2,fn
until,2,fn
go,2,fn
refill,2,fn
slurpee,2,fn
directly,2,fn
appeal,2,fn
line,2,fn
structure,2,fn
defiant,2,fn
pry,2,fn
conspiracy,2,fn
means,2,fn
saved,2,fn
records,2,fn
research,2,fn
lifetime,2,fn
market,2,fn
someone,2,fn
elephant,2,fn
join,2,fn
find,2,fn
alarm,2,fn
got,2,fn
renewed,2,fn
today,2,fn
testing,2,fn
em,2,fn
seems,2,fn
too,2,fn
scare,2,fn
satire,2,fn
animal,2,fn
insulting,2,fn
filthy,2,fn
deviants,2,fn
needed,2,fn
beyond,2,fn
cooling,2,fn
scores,2,fn
tenant,2,fn
insurance,2,fn
employment,2,fn
advertising,2,fn
version,2,fn
quietly,2,fn
under,2,fn
private,2,fn
anyone,2,fn
plainly,2,fn
outlaws,2,fn
prison,2,fn
bureaucrats,2,fn
counterpoint,2,fn
current,2,fn
stands,2,fn
conservatives,2,fn
surplus,2,fn
decent,2,fn
dropped,2,fn
dramatically,2,fn
polite,2,fn
heat,2,fn
temperatures,2,fn
nice,2,fn
things,2,fn
return,2,fn
obscene,2,fn
become,2,fn
clearer,2,fn
safer,2,fn
fairer,2,fn
rebuild,2,fn
earlier,1,fn
existed,1,fn
happen,1,fn
shifting,1,fn
dishonest,1,fn
lying,1,fn
shared,1,fn
responsibility,1,fn
sole,1,fn
agendas,1,fn
insufficient,1,fn
immigrant,1,fn
securing,1,fn
communities,1,fn
construction,1,fn
assaultive,1,fn
capacity,1,fn
which,1,fn
tools,1,fn
shortest,1,fn
significant,1,fn
contains,1,fn
country,1,fn
statistical,1,fn
least,1,fn
girls,1,fn
20,1,fn
boys,1,fn
formula,1,fn
democrat,1,fn
bullet,1,fn
fault,1,fn
hurricane,1,fn
hit,1,fn
unwanted,1,fn
rejection,1,fn
cable,1,fn
news,1,fn
turned,1,fn
seen,1,fn
outlet,1,fn
screaming,1,fn
clout,1,fn
concern,1,fn
come,1,fn
distant,1,fn
avoid,1,fn
conditions,1,fn
breaks,1,fn
environmental,1,fn
worded,1,fn
complaint,1,fn
harming,1,fn
working,1,fn
class,1,fn
livelihoods,1,fn
civil,1,fn
loans,1,fn
ruling,1,fn
blocked,1,fn
him,1,fn
forgiveness,1,fn
evaluates,1,fn
negatively,1,fn
despite,1,fn
praised,1,fn
failing,1,fn
populist,1,fn
promises,1,fn
dragged,1,fn
openings,1,fn
stereotypes,1,fn
combining,1,fn
produces,1,fn
toughness,1,fn
defenselessness,1,fn
folks,1,fn
tussle,1,fn
favorable,1,fn
ridicule,1,fn
result,1,fn
generic,1,fn
abbreviation,1,fn
welfare,1,fn
food,1,fn
assistance,1,fn
feeding,1,fn
hungry,1,fn
enough,1,fn
semi,1,fn
characterization,1,fn
punchline,1,fn
owner,1,fn
dems,1,fn
tightening,1,fn
contrasts,1,fn
strictness,1,fn
area,1,fn
laxity,1,fn
another,1,fn
responsible,1,fn
organizational,1,fn
ran,1,fn
ground,1,fn
his,1,fn
band,1,fn
loonies,1,fn
remember,1,fn
former_member_credibility_claim,1,fn
invokes,1,fn
membership,1,fn
supporter,1,fn
status,1,fn
member,1,fn
cheapness,1,fn
alternatives,1,fn
technical_weapon_manual_reference,1,fn
mentions,1,fn
interjection,1,fn
slang,1,fn
phew,1,fn
blunderbuss,1,fn
order,1,fn
via,1,fn
sold,1,fn
qualifies,1,fn
disagreement,1,fn
ar,1,fn
15,1,fn
hysteria,1,fn
qualification,1,fn
mock,1,fn
trademark,1,fn
pronouns,1,fn
diversity,1,fn
uk,1,fn
satirical,1,fn
progressives,1,fn
mocked,1,fn
plan,1,fn
hand,1,fn
fallacy,1,fn
amendments,1,fn
text,1,fn
disallowed,1,fn
intellectual,1,fn
labeling,1,fn
unlimited,1,fn
thread_numbering_marker,1,fn
appears,1,fn
longer,1,fn
thread,1,fn
allusion,1,fn
involving,1,fn
proves,1,fn
became,1,fn
clear,1,fn
anything,1,fn
unprotected,1,fn
build,1,fn
bunkers,1,fn
remain,1,fn
exposed,1,fn
exploit,1,fn
dismantle,1,fn
conclusion,1,fn
neglect,1,fn
mark,1,fn
119th,1,fn
119thcongress,1,fn
total,1,fn
dem119thcongress,1,fn
wording,1,fn
concerned,1,fn
ammunition,1,fn
bribery,1,fn
caused,1,fn
repeal,1,fn
blocking,1,fn
bribed,1,fn
eliminate,1,fn
reasonable,1,fn
attacking,1,fn
second_amendment_framing_in_mirror,1,fn
dismantling,1,fn
level,1,fn
storage,1,fn
addressed,1,fn
audience,1,fn
recommendation,1,fn
safely,1,fn
home,1,fn
instruction,1,fn
self_harm_safety_caveat,1,fn
advice,1,fn
includes,1,fn
household,1,fn
caveat,1,fn
housemate,1,fn
prevent,1,fn
aren,1,fn
unfairly,1,fn
unconstitutional,1,fn
aphoristic_pop_culture_allusion,1,fn
surprise,1,fn
non,1,fn
possessors,1,fn
criminals,1,fn
adds,1,fn
surprised,1,fn
illegal_possession_scale_claim,1,fn
occurs,1,fn
scale,1,fn
mixed,1,fn
german,1,fn
english,1,fn
isch,1,fn
rollback,1,fn
european,1,fn
countries,1,fn
canadian,1,fn
assertive,1,fn
developments,1,fn
habitual,1,fn
others,1,fn
aber,1,fn
schuld,1,fn
ist,1,fn
der,1,fn
andere,1,fn
numbered,1,fn
quoted,1,fn
passage,1,fn
capitalism,1,fn
wirtschaftspolitik,1,fn
acronym,1,fn
manufacturers,1,fn
association,1,fn
sincerity,1,fn
hypocrisy,1,fn
associations,1,fn
activist,1,fn
amount,1,fn
hidden,1,fn
gains,1,fn
invites,1,fn
infer,1,fn
incentives,1,fn
beneficiaries,1,fn
successive,1,fn
why,1,fn
influential,1,fn
money_in_politics_idiom,1,fn
pocket,1,fn
lining,1,fn
massachusetts,1,fn
books,1,fn
perfect,1,fn
enthusiastic,1,fn
disliked,1,fn
actor,1,fn
machine,1,fn
place,1,fn
prominent,1,fn
electoral,1,fn
receiving,1,fn
receive,1,fn
credentialing,1,fn
campaign_endorsement_credential,1,fn
credential,1,fn
aside,1,fn
financially,1,fn
donor_money_corruption_frame,1,fn
attributed,1,fn
grift,1,fn
words,1,fn
appear,1,fn
loss,1,fn
fixes,1,fn
supreme,1,fn
value,1,fn
warning,1,fn
republic,1,fn
religious,1,fn
liberty,1,fn
close,1,fn
challenges,1,fn
compare,1,fn
look,1,fn
went,1,fn
items,1,fn
pennies,1,fn
challenge,1,fn
karen,1,fn
cuts,1,fn
unintentionally,1,fn
affordability,1,fn
ironic,1,fn
outcome,1,fn
capitalist,1,fn
describing,1,fn
elections,1,fn
pretending,1,fn
see,1,fn
here,1,fn
voters,1,fn
libs,1,fn
agree,1,fn
purchases,1,fn
enable,1,fn
homicide,1,fn
buy,1,fn
cheating,1,fn
couple,1,fn
week,1,fn
flags,1,fn
etc,1,fn
challenging,1,fn
standards,1,fn
decides,1,fn
counts,1,fn
backdoor,1,fn
mental_health_risk_framing,1,fn
geopolitics,1,fn
rapid,1,fn
adoption,1,fn
reduce,1,fn
relevance,1,fn
geopolitically,1,fn
beneficial,1,fn
expected,1,fn
watching,1,fn
blow,1,fn
potentially,1,fn
unnecessary,1,fn
sector,1,fn
contempt,1,fn
recipients,1,fn
fantasies,1,fn
turbine,1,fn
grifters,1,fn
parasites,1,fn
imagined,1,fn
imagine,1,fn
world,1,fn
switched,1,fn
quickly,1,fn
ghost,1,fn
list_or_policy_terms_dense,1,fn
defund,1,fn
yeah,1,fn
tracks,1,fn
flights,1,fn
spurred,1,fn
assertions,1,fn
quantities,1,fn
damaging,1,fn
emitting,1,fn
massive,1,fn
amounts,1,fn
administration,1,fn
deportations,1,fn
policing,1,fn
punishment,1,fn
lawful,1,fn
exercise,1,fn
exercising,1,fn
danger,1,fn
unjust,1,fn
carrying,1,fn
justify,1,fn
force,1,fn
unarmed,1,fn
slangy,1,fn
create,1,fn
additional,1,fn
able,1,fn
usefulness,1,fn
proposed,1,fn
exclamatory,1,fn
election,1,fn
payments,1,fn
affecting,1,fn
boggles,1,fn
condemnation,1,fn
joe,1,fn
multi,1,fn
canada,1,fn
relationship,1,fn
back,1,fn
appeals,1,fn
preventing,1,fn
live,1,fn
foreign,1,fn
alignment,1,fn
reverses,1,fn
scrap,1,fn
bloated,1,fn
done,1,fn
suggests,1,fn
formal,1,fn
violation,1,fn
ways,1,fn
violate,1,fn
inconvenience,1,fn
strategy,1,fn
probability,1,fn
hedge,1,fn
analogy,1,fn
policymakers,1,fn
colon,1,fn
explanatory,1,fn
elaboration,1,fn
symbolism,1,fn
racism,1,fn
racist,1,fn
attribution,1,fn
dont,1,fn
haired,1,fn
coded,1,fn
hair,1,fn
crybullies,1,fn
parallel,1,fn
predictive,1,fn
generation,1,fn
meet,1,fn
third,1,fn
year,1,fn
burning,1,fn
produce,1,fn
starting,1,fn
towards,1,fn
supporting,1,fn
clean,1,fn
success,1,fn
experiment,1,fn
description,1,fn
im,1,fn
full,1,fn
nerd,1,fn
violating,1,fn
confidence,1,fn
marker,1,fn
personal_disclaimer_before_political_claim,1,fn
prefaces,1,fn
statement,1,fn
rarely,1,fn
account,1,fn
advocate,1,fn
enables,1,fn
gonna,1,fn
extended,1,fn
recognizes,1,fn
vulnerable,1,fn
coasts,1,fn
coast,1,fn
leaders,1,fn
willful,1,fn
simply,1,fn
regardless,1,fn
elites,1,fn
profane,1,fn
spoken,1,fn
stuff,1,fn
consumption,1,fn
occur,1,fn
cars,1,fn
barely,1,fn
generates,1,fn
trivial,1,fn
wasteful,1,fn
dependent,1,fn
consumer,1,fn
consumers,1,fn
drivers,1,fn
backup,1,fn
dependence,1,fn
turbines,1,fn
plant,1,fn
virtue,1,fn
signal,1,fn
hashtag_or_mention_pattern,1,fn
hashtag,1,fn
mngunreformnow,1,fn
encourages,1,fn
mobilization,1,fn
justifies,1,fn
protest,1,fn
tactic,1,fn
seeking,1,fn
hold,1,fn
clauses,1,fn
charlton,1,fn
heston,1,fn
rhetoric,1,fn
refusal,1,fn
relinquish,1,fn
absolutist,1,fn
maybe,1,fn
matter,1,fn
owners,1,fn
defiance,1,fn
wingers,1,fn
temporal,1,fn
giving,1,fn
quotation,1,fn
marked,1,fn
ll,1,fn
killings,1,fn
complete,1,fn
moralized,1,fn
calls,1,fn
end,1,fn
slogans,1,fn
instructions,1,fn
imperatives,1,fn
corrects,1,fn
misconception,1,fn
opponent,1,fn
zero,1,fn
long,1,fn
context,1,fn
enabled,1,fn
enter,1,fn
markets,1,fn
deceptive,1,fn
manipulation,1,fn
contribute,1,fn
undermining,1,fn
stops,1,fn
resourced,1,fn
enormous,1,fn
tolerating,1,fn
obstruction,1,fn
idiomatic,1,fn
phrase,1,fn
prediction,1,fn
100,1,fn
legislators,1,fn
implicitly,1,fn
pressured,1,fn
predicted,1,fn
ongoing,1,fn
daily,1,fn
occurrence,1,fn
charged,1,fn
depiction,1,fn
unborn,1,fn
babies,1,fn
slaughtered,1,fn
lowercase,1,fn
licensed,1,fn
permission,1,fn
required,1,fn
lax,1,fn
competence,1,fn
comic,1,fn
ellipsis,1,fn
lack,1,fn
leads,1,fn
bad,1,fn
outcomes,1,fn
happens,1,fn
absurdist,1,fn
absurd,1,fn
focus,1,fn
category,1,fn
breeds,1,fn
absurdist_animal_satire,1,fn
satirize,1,fn
uppercase,1,fn
emoji,1,fn
pejoratives,1,fn
rich,1,fn
shot,1,fn
condemning,1,fn
abhorrent,1,fn
refuses,1,fn
desperately,1,fn
outraged,1,fn
removed,1,fn
remove,1,fn
stripping,1,fn
dirty,1,fn
geographic,1,fn
regional,1,fn
unacceptable,1,fn
powered,1,fn
center,1,fn
placement,1,fn
western,1,fn
cynical,1,fn
