topic,n_posts,keep_rate,ci_low,ci_high,p_value,q_value,significant_bh
87,8,0.7916666666666667,0.6369444444444445,0.911111111111111,0.38883813680930857,0.5139425808262166,False
88,16,0.809375,0.6851851851851852,0.908834422657952,0.012430108548954325,0.03404138624836361,True
89,16,0.7520833333333334,0.6516628787878788,0.8395833333333333,0.22547017260259491,0.3533140849030353,False
90,18,0.7583333333333333,0.6308317307692308,0.8760047619047617,0.13992810933677424,0.24731479789755448,False
91,9,0.5925925925925927,0.4166666666666667,0.7666666666666666,0.0857390379049458,0.1737644501540235,False
92,21,0.7031746031746032,0.6192919799498746,0.7809523809523808,1.0,1.0,False
93,19,0.6281954887218045,0.5076744897959183,0.7400119047619047,0.11708171440698002,0.22245525737326205,False
94,14,0.7452380952380954,0.6074074074074074,0.8588410364145657,0.5150354369497947,0.6469866645980892,False
95,13,0.6243589743589744,0.4649953703703704,0.7785768398268398,0.22041370783303496,0.3533140849030353,False
96,16,0.6425595238095239,0.53328231292517,0.7462023809523809,0.24855482389813288,0.3740627052724376,False
98,21,0.7094104308390023,0.5980833333333334,0.8153538272072755,0.9178432496757227,0.9811397658617628,False
99,10,0.6866666666666668,0.5333333333333333,0.8166666666666668,0.8790451067621303,0.9752909213711227,False
100,14,0.6821428571428572,0.5479092261904761,0.8083493589743588,0.7077629246333124,0.8275381888020268,False
101,25,0.5786666666666666,0.4339052522349937,0.7136581088664421,0.00023621193914490925,0.0009287275930444985,True
102,13,0.6717948717948719,0.506611111111111,0.8166666666666667,0.6001972055321475,0.7298398019270914,False
103,13,0.7648351648351649,0.6485584415584416,0.8643055555555553,0.26046252722173224,0.3806760013240702,False
104,27,0.6103174603174603,0.49180485008818337,0.7224674652469683,0.023471797542619556,0.05946188710796954,False
105,15,0.5922222222222223,0.4302895021645022,0.7411788048552754,0.06698797546323787,0.1454596038630308,False
106,17,0.823529411764706,0.7454545454545456,0.8999999999999999,0.012541563354660275,0.03404138624836361,True
107,18,0.625925925925926,0.49333333333333335,0.7538492063492064,0.1387088268805653,0.24731479789755448,False
108,23,0.7086956521739131,0.6092592592592593,0.8013903985507247,0.920603249417022,0.9811397658617628,False
109,27,0.6255731922398589,0.5217668178382464,0.734179717341482,0.01974113962061029,0.051735400385047654,False
110,22,0.7931818181818181,0.6904365079365079,0.8916666666666666,0.03457687217730237,0.08342356461825333,False
111,15,0.48412698412698413,0.35559495464852603,0.6227344877344877,0.00013850443532046773,0.0006379598232942755,True
112,18,0.8435185185185184,0.7551225490196078,0.9238203463203463,0.0018131721231372901,0.005991351363410176,True
113,10,0.7783333333333334,0.6199924242424242,0.9238095238095237,0.22228468440963034,0.3533140849030353,False
114,7,0.6976190476190476,0.6333333333333333,0.7666666666666666,1.0,1.0,False
115,20,0.7608333333333335,0.6451278409090908,0.8733333333333334,0.19979069392707777,0.3265396287840411,False
117,5,0.7,0.5389375000000001,0.9,1.0,1.0,False
118,24,0.7113095238095238,0.6071404761904763,0.8122911445279866,0.9227236649271049,0.9811397658617628,False
119,12,0.7875,0.6333333333333333,0.9185317460317458,0.1300121305277825,0.23967108983104393,False
120,13,0.844871794871795,0.7821347402597403,0.9107242063492063,0.006917905084736556,0.01984002967698031,True
121,9,0.574074074074074,0.38886904761904756,0.7810119047619043,0.05458425322733633,0.12201186015522238,False
122,6,0.9095238095238095,0.8190476190476191,1.0,0.004590097596385666,0.013680290875502378,True
123,20,0.6891666666666667,0.5666447368421053,0.7999999999999999,0.9119766718190733,0.9811397658617628,False
124,1,0.4,0.4,0.4000000000000001,0.16555135011981983,0.282739384474299,False
125,14,0.8460884353741498,0.7640609390609391,0.9300238095238095,0.005619547644622181,0.016426370038126376,True
126,3,0.9333333333333332,0.8,1.0,0.07872186451763973,0.16169896495515187,False
127,16,0.834375,0.7299791666666665,0.9230833333333334,0.00419003021453577,0.01273769185218874,True
128,18,0.8027777777777777,0.6916369047619048,0.8986160714285716,0.03025659374016522,0.07417745562105021,False
129,14,0.8071428571428573,0.6833012820512819,0.904173611111111,0.041344049546785513,0.0952165989562333,False
130,20,0.6945238095238094,0.5833101851851852,0.7916213151927438,0.913883528227903,0.9811397658617628,False
