topic,n_posts,keep_rate,ci_low,ci_high,p_value,q_value,significant_bh
51,33,0.5217893217893218,0.43333333333333335,0.6030438311688311,1.209388132620314e-06,6.786011188591762e-06,True
52,33,0.7832611832611833,0.7097191820276499,0.8526611486615495,0.018799521010782975,0.038750033103858786,True
53,33,0.7898989898989898,0.701638440860215,0.8666826923076923,0.014504481622422467,0.03255450319699265,True
54,32,0.6505208333333334,0.5691278375149342,0.7314383116883116,0.17851249430566646,0.24698304006674401,False
55,32,0.7484375,0.6619690393518518,0.830770202020202,0.12101090951367764,0.19400161683938796,False
56,31,0.5650537634408602,0.46665364583333335,0.6606242424242422,0.0009630831390822952,0.0032423799015770605,True
57,30,0.5725396825396826,0.48144458128078815,0.6666746031746033,0.0006766302701372646,0.0023565399063401283,True
58,30,0.6923809523809524,0.5988635019225081,0.7777777777777777,0.930779491849907,0.9400872867684061,False
59,30,0.7724603174603176,0.6858743842364531,0.846667328042328,0.048571157962784425,0.08760155275430762,False
60,29,0.7673234811165845,0.6829887607216799,0.8535827175697864,0.07813946873070887,0.13607045416899305,False
61,29,0.7183908045977011,0.6253952380952381,0.8076973684210527,0.5276818874774238,0.5988300071373012,False
62,28,0.6770408163265306,0.5779915266106442,0.7684233205066537,0.7856771959018178,0.8265978831883709,False
63,28,0.6170918367346939,0.5014160052910052,0.7265439342403627,0.033097612702600684,0.06190479412893831,False
64,27,0.7092592592592593,0.6061574074074074,0.8007373859366611,0.7793012917928954,0.8265978831883709,False
65,27,0.7506172839506173,0.6937395833333334,0.8057450396825396,0.16506246906207567,0.23480717429957243,False
66,27,0.6637566137566138,0.5569375,0.7633348214285715,0.3142450745080111,0.4017563610798623,False
67,27,0.8185185185185185,0.7262797619047618,0.9017273307790549,0.002637727388082829,0.00832532706863643,True
68,27,0.8888007054673722,0.8358303571428572,0.935802553927554,1.2008214349595623e-07,8.663068923636842e-07,True
69,27,0.8390652557319226,0.7696428571428572,0.9023108237547892,0.00017860966295716875,0.0007516489982780851,True
70,27,0.8345679012345679,0.7562437500000001,0.9055743243243243,0.0005175661548590045,0.0019360808015096095,True
71,27,0.7443562610229276,0.6488771081349206,0.8333462732919255,0.46305983634575654,0.5314664030786523,False
72,25,0.6809999999999999,0.5810579004329004,0.7768246376811594,0.46044668985924986,0.5314664030786523,False
73,25,0.7393333333333332,0.6522422422422423,0.8237202380952381,0.3765748291227713,0.4595722926297897,False
74,24,0.7236111111111111,0.6345630787037037,0.8094228778467909,0.5474287211848963,0.6009815308660275,False
75,24,0.6597222222222222,0.5400737847222222,0.7769270833333335,0.37398823607526815,0.4595722926297897,False
76,24,0.7722222222222221,0.6817144563918758,0.8565253623188405,0.14497693275539303,0.21854731654171186,False
77,23,0.6586956521739131,0.5522679924242425,0.7673816287878787,0.30756400289862307,0.398255952471294,False
78,23,0.7894409937888199,0.6995923913043479,0.8706071124101815,0.030376894896658613,0.059001276626202304,False
79,23,0.9072463768115943,0.8449967948717948,0.9622246376811594,2.052900467687842e-07,1.219664395508659e-06,True
80,23,0.6992753623188407,0.5912092731829575,0.8038541666666666,1.0,1.0,False
81,23,0.5797101449275363,0.4652686403508773,0.6903034420289854,0.008488003999248307,0.022560221155896815,True
82,23,0.8224637681159419,0.7469653263403263,0.8934540343915344,0.002944042680047697,0.009010554869236891,True
83,22,0.581060606060606,0.45461805555555557,0.700018115942029,0.017407062097689725,0.03736761671914289,True
84,22,0.8583333333333335,0.7911018518518519,0.9218792002688172,8.816330525992464e-05,0.0003871519057066256,True
85,22,0.6348484848484849,0.4932839506172839,0.7707102272727271,0.10372531150242334,0.16897187841523803,False
86,21,0.5142857142857142,0.36628432765151514,0.6633587962962961,1.7714679594976992e-06,9.416750732066716e-06,True
87,21,0.6166666666666666,0.5131530214424952,0.7305555555555555,0.08211407727736361,0.13822536341689542,False
88,20,0.7582738095238095,0.6573937908496731,0.8486247650375939,0.14719369984733413,0.21862593653795215,False
89,20,0.7160714285714286,0.6262619047619047,0.8066822916666666,0.7547652633045161,0.8109711871676183,False
90,19,0.45,0.31804398148148144,0.5820588235294116,1.951303798116927e-07,1.219664395508659e-06,True
91,19,0.5929824561403508,0.4927072916666667,0.6909157754010695,0.023953698262601707,0.04838647049045545,True
92,19,0.7096491228070176,0.6333333333333333,0.7888888888888889,0.910032586749882,0.9284170834518998,False
93,18,0.6175925925925926,0.45081249999999995,0.7728358004385963,0.15028111201940406,0.21997670020231608,False
94,18,0.8305555555555556,0.7399868421052631,0.910531015037594,0.003401333976749639,0.010103962695638633,True
95,17,0.561764705882353,0.4525856307435254,0.6814880952380953,0.009673155418404935,0.02505099223740765,True
96,16,0.6257440476190477,0.4738095238095238,0.7546334670231728,0.1596938350932392,0.23041539063453087,False
97,16,0.628125,0.5,0.7583333333333334,0.2339488265684171,0.30686794134298867,False
98,15,0.6577777777777778,0.5393894830659537,0.7766730769230769,0.3819660063106512,0.4595722926297897,False
99,15,0.8766666666666668,0.8111011904761904,0.9392857142857142,0.00035006279467521674,0.0013598593177768035,True
