topic,party_group,n_ratings,n_keep,keep_rate
80,republican,59,51,0.864406779661017
81,democrat,44,23,0.5227272727272727
81,republican,49,22,0.4489795918367347
82,democrat,48,36,0.75
82,republican,38,26,0.6842105263157895
83,democrat,43,21,0.4883720930232558
83,republican,37,25,0.6756756756756757
84,democrat,27,25,0.9259259259259259
84,republican,24,22,0.9166666666666666
85,democrat,17,14,0.8235294117647058
85,republican,30,26,0.8666666666666667
86,democrat,36,26,0.7222222222222222
86,republican,39,24,0.6153846153846154
87,democrat,33,22,0.6666666666666666
87,republican,33,20,0.6060606060606061
88,democrat,32,29,0.90625
88,republican,30,23,0.7666666666666667
89,democrat,32,16,0.5
89,republican,38,24,0.631578947368421
90,democrat,26,15,0.5769230769230769
90,republican,34,24,0.7058823529411765
91,democrat,30,21,0.7
91,republican,32,25,0.78125
